,1683
Returns,8.997903605931949
Volatility,0.5702528945550926
MATIC-USD weight,0.11611106411873165
AVAX-USD weight,0.1184381715405162
DOGE-USD weight,0.08171828606881841
MIDAS-USD weight,0.0564706744927683
BNB-USD weight,0.052929255045959175
BTC-USD weight,0.02915591262887445
LINK-USD weight,0.07580320147112204
UNI-USD weight,0.00042722419492182095
ADA-USD weight,0.0026194338362435956
ETH-USD weight,0.01588418707319639
TSLA weight,0.09353133006570911
NVDA weight,0.04710742085780591
AAVE-USD weight,0.006175781611484391
DOT-USD weight,0.05088356102221055
AAPL weight,0.06539642241511325
MSFT weight,0.10627526513812402
ARKK weight,0.038589872097901906
XRP-USD weight,0.022329965866595313
AMZN weight,0.018030323439978336
ARKQ weight,0.0021226470139251974
